seed,strategy,remain mycol tiles
1572887,123456789,18
307123062,123456789,12
307123171,123456789,0
307123234,123456789,0
307123359,123456789,20
307123437,123456789,0
307123515,123456789,32
307123578,123456789,0
307123656,123456789,23
307123718,123456789,24
307123812,123456789,22
307123906,123456789,0
307123984,123456789,31
307124062,123456789,2
307124156,123456789,20
1572887,123456789,33
307622031,123456789,33
307622062,123456789,-1
307622093,123456789,0
307622093,123456789,0
307622109,123456789,5
307622125,123456789,38
307622140,123456789,28
307622187,123456789,14
307622203,123456789,1
307622234,123456789,0
307622234,123456789,0
307622265,123456789,33
1572887,123456789,0
307853015,123456789,11
307853046,123456789,-1
307853093,123456789,24
307853109,123456789,0
307853125,123456789,13
307853156,123456789,0
307853218,123456789,0
307853234,123456789,0
307853250,123456789,0
307853265,123456789,0
307853296,123456789,0
307853328,123456789,0
307853375,123456789,20
307853390,123456789,0
307853406,123456789,0
307853468,123456789,44
307853484,123456789,0
307853515,123456789,20
307853515,123456789,20
307853546,123456789,18
307853546,123456789,0
307853562,123456789,8
307853578,123456789,31
307853593,123456789,13
307853656,123456789,7
307853671,123456789,9
307853687,123456789,13
307853718,123456789,0
307853750,123456789,0
307853765,123456789,25
1572887,123456789,21
308093578,123456789,-1
308093593,123456789,1
308093625,123456789,30
308093656,123456789,46
308093687,123456789,37
308093718,123456789,36
308093750,123456789,0
308093812,123456789,15
308093843,123456789,14
308093875,123456789,20
308093984,123456789,0
308094015,123456789,0
308094046,123456789,12
308094109,123456789,30
308094156,123456789,16
308094203,123456789,0
308094234,123456789,0
308094281,123456789,1
1572887,123456789,0
308118718,123456789,9
308118796,123456789,20
308118875,123456789,13
308118984,123456789,0
308119078,123456789,0
308119156,123456789,0
308119234,123456789,9
308119328,123456789,29
308119406,123456789,0
308119500,123456789,16
308119593,123456789,0
308119703,123456789,0
308119781,123456789,28
308119859,123456789,7
308119921,123456789,14
1572887,123456789,21
308237296,123456789,0
308239171,123456789,14
308244328,123456789,32
308246546,123456789,22
308248187,123456789,0
308249812,123456789,0
308251437,123456789,0
308253078,123456789,0
308254625,123456789,0
308256156,123456789,4
308258171,123456789,0
308259890,123456789,27
308261093,123456789,0
308262109,123456789,22
308263125,123456789,19
308263750,123456789,26
308264187,123456789,0
308265078,123456789,0
308265625,123456789,31
308267562,123456789,26
308267984,123456789,18
308268468,123456789,41
308268843,123456789,32
308269234,123456789,0
308269625,123456789,9
1572887,123456789,0
320369421,123456789,22
320378453,123456789,2
320379609,123456789,3
320380093,123456789,8
320380546,123456789,23
320380968,123456789,21
320381187,123456789,19
320381437,123456789,-1
320381640,123456789,0
320381812,123456789,0
320382000,123456789,43
320382203,123456789,8
1572887,123456789,0
320478625,123456789,21
320478734,123456789,11
320478859,123456789,13
320478921,123456789,0
320479046,123456789,0
320479187,123456789,32
320479250,123456789,24
320479343,123456789,47
320479437,123456789,0
320479531,123456789,33
320479640,123456789,39
320479734,123456789,18
320479828,123456789,0
320479937,123456789,0
320480078,123456789,6
320480265,123456789,24
1572887,123456789,40
320510609,123456789,0
320510656,123456789,0
320510703,123456789,0
320510718,123456789,0
320510781,123456789,32
320510843,123456789,6
320510906,123456789,7
320510984,123456789,0
320511031,123456789,5
320511125,123456789,0
320511218,123456789,0
320511281,123456789,1
320511343,123456789,34
320511421,123456789,0
320511531,123456789,16
320511609,123456789,22
320511718,123456789,27
320511812,123456789,30
320511890,123456789,0
320512000,123456789,15
320512078,123456789,12
1572887,123456789,6
321309109,123456789,0
321314093,123456789,26
321316093,123456789,0
321318328,123456789,23
321320265,123456789,-1
321322515,123456789,27
321323968,123456789,18
321325984,123456789,38
321327046,123456789,31
321328453,123456789,7
321330578,123456789,0
321333093,123456789,30
321333734,123456789,0
321334718,123456789,19
1572887,123456789,0
321353468,123456789,0
321353515,123456789,29
321353562,123456789,27
321353609,123456789,-1
321353656,123456789,0
321353703,123456789,16
321353718,123456789,21
321353765,123456789,12
321353781,123456789,0
321353812,123456789,5
321353843,123456789,0
321353859,123456789,0
321353921,123456789,9
321353984,123456789,0
321354015,123456789,6
321354078,123456789,0
321354156,123456789,31
321354218,123456789,30
321354250,123456789,46
321354296,123456789,9
321354359,123456789,0
321354406,123456789,30
1572887,123456789,32
321365500,123456789,0
321365531,123456789,0
321365578,123456789,3
321365593,123456789,30
321365625,123456789,24
321365671,123456789,13
321365687,123456789,43
321365703,123456789,30
321365718,123456789,34
321365734,123456789,10
1572887,123456789,36
321433625,123456789,23
321433656,123456789,0
321433687,123456789,7
321433734,123456789,26
321433765,123456789,38
321433781,123456789,0
321433812,123456789,9
321433843,123456789,18
321433875,123456789,20
1572887,123456789,14
321480015,123456789,13
321482046,123456789,10
321483281,123456789,0
321484515,123456789,22
321485281,123456789,11
321486578,123456789,27
321488000,123456789,3
321489625,123456789,0
321491234,123456789,41
321491828,123456789,0
321493375,123456789,-1
321494921,123456789,45
321495453,123456789,0
321496875,123456789,0
321498531,123456789,40
321499031,123456789,28
1572887,123456789,0
326050062,123456789,0
326050109,123456789,0
326050187,123456789,45
326050218,123456789,35
326050234,123456789,-1
326050281,123456789,19
326050312,123456789,21
326050343,123456789,-1
326050421,123456789,11
326050468,123456789,46
326050484,123456789,-1
326050531,123456789,17
326050562,123456789,-1
326050593,123456789,5
326050718,123456789,17
1572887,123456789,0
326140046,123456789,10
326140109,123456789,14
326140203,123456789,30
326140234,123456789,23
326140265,123456789,11
326140312,123456789,11
326140328,123456789,30
326140359,123456789,0
326140453,123456789,0
326140500,123456789,0
326140531,123456789,26
326140562,123456789,19
326140609,123456789,9
326140656,123456789,0
326140703,123456789,23
326140734,123456789,0
326140765,123456789,0
326140796,123456789,0
326140843,123456789,2
326140890,123456789,0
326140921,123456789,7
326141000,123456789,30
326141046,123456789,20
326141078,123456789,0
326141109,123456789,0
326141156,123456789,18
326141203,123456789,6
326141234,123456789,35
326141281,123456789,-1
326141312,123456789,0
326141421,123456789,32
326141453,123456789,32
326141515,123456789,0
326141546,123456789,27
326141578,123456789,27
326141609,123456789,14
326141640,123456789,34
326141671,123456789,0
326141703,123456789,34
326141750,123456789,23
326141796,123456789,23
326141828,123456789,0
326141859,123456789,39
326141875,123456789,18
326141937,123456789,5
326141984,123456789,7
326142015,123456789,3
326142078,123456789,4
326142109,123456789,32
326142140,123456789,0
326142171,123456789,30
1572887,123456789,45
326154109,123456789,0
326154156,123456789,22
326154234,123456789,21
326154250,123456789,5
326154328,123456789,14
326154359,123456789,0
326154375,123456789,0
326154421,123456789,21
326154468,123456789,45
326154500,123456789,29
326154531,123456789,7
326154578,123456789,20
326154625,123456789,0
326154656,123456789,31
326154687,123456789,34
326154718,123456789,33
326154750,123456789,5
326154796,123456789,0
326154859,123456789,0
326154890,123456789,27
326154906,123456789,25
326154968,123456789,30
326155015,123456789,26
326155046,123456789,38
326155156,123456789,33
326155187,123456789,33
326155203,123456789,0
326155234,123456789,4
326155296,123456789,0
326155328,123456789,0
326155359,123456789,47
326155468,123456789,38
326155515,123456789,-1
326155546,123456789,-1
326155578,123456789,0
326155640,123456789,0
326155718,123456789,17
326155734,123456789,0
326155781,123456789,31
326155796,123456789,36
326155828,123456789,19
326155875,123456789,34
326155906,123456789,-1
326155937,123456789,19
326156000,123456789,10
326156031,123456789,0
326156062,123456789,30
326156125,123456789,0
326156140,123456789,0
326156171,123456789,22
326156265,123456789,0
326156296,123456789,0
326156359,123456789,0
326156437,123456789,32
326156468,123456789,0
326156500,123456789,19
326156546,123456789,34
326156578,123456789,42
326156578,123456789,38
326156625,123456789,0
326156640,123456789,1
326156687,123456789,21
326156703,123456789,0
326156718,123456789,28
326156781,123456789,22
326156828,123456789,35
326156859,123456789,17
326156921,123456789,35
326156937,123456789,42
326157015,123456789,42
326157031,123456789,26
326157062,123456789,0
326157078,123456789,23
326157171,123456789,36
326157218,123456789,10
326157250,123456789,16
326157296,123456789,30
326157343,123456789,19
326157406,123456789,11
326157437,123456789,27
326157484,123456789,0
326157546,123456789,17
326157578,123456789,5
326157593,123456789,21
326157625,123456789,1
326157656,123456789,0
326157703,123456789,23
326157734,123456789,0
326157750,123456789,0
326157796,123456789,0
326157828,123456789,0
326157859,123456789,27
326157890,123456789,30
326157953,123456789,0
326157984,123456789,42
326158015,123456789,0
326158046,123456789,40
326158062,123456789,-1
326158093,123456789,29
326158140,123456789,0
326158156,123456789,8
326158203,123456789,0
326158281,123456789,0
326158375,123456789,0
326158421,123456789,0
326158484,123456789,15
326158531,123456789,33
326158578,123456789,34
326158609,123456789,22
326158640,123456789,16
326158703,123456789,35
326158750,123456789,0
326158796,123456789,0
326158859,123456789,0
326158890,123456789,40
326158921,123456789,0
326158937,123456789,0
326158984,123456789,23
326159031,123456789,17
326159062,123456789,0
326159109,123456789,16
326159156,123456789,0
326159203,123456789,55
326159203,123456789,52
326159234,123456789,6
326159265,123456789,28
326159312,123456789,0
326159343,123456789,0
326159390,123456789,11
326159421,123456789,35
326159437,123456789,30
326159484,123456789,0
326159515,123456789,0
326159546,123456789,0
326159578,123456789,32
326159656,123456789,0
326159687,123456789,0
326159750,123456789,12
326159781,123456789,0
326159843,123456789,7
326159875,123456789,0
326159921,123456789,0
326159953,123456789,24
326160000,123456789,0
326160046,123456789,-1
326160078,123456789,23
326160125,123456789,15
326160187,123456789,30
326160203,123456789,19
326160250,123456789,6
326160281,123456789,0
326160312,123456789,8
326160375,123456789,0
326160390,123456789,40
326160437,123456789,0
326160453,123456789,35
326160484,123456789,0
326160515,123456789,24
326160593,123456789,0
326160640,123456789,4
326160656,123456789,43
326160765,123456789,23
326160828,123456789,28
326160859,123456789,0
326160890,123456789,0
326160937,123456789,2
326160984,123456789,34
326161015,123456789,40
326161171,123456789,0
326161203,123456789,23
326161250,123456789,0
326161281,123456789,19
326161312,123456789,33
326161328,123456789,28
326161359,123456789,0
326161390,123456789,9
326161437,123456789,38
326161578,123456789,0
326161625,123456789,33
326161656,123456789,0
326161703,123456789,15
326161750,123456789,0
326161781,123456789,28
326161937,123456789,0
326161968,123456789,0
326162109,123456789,19
326162140,123456789,25
326162171,123456789,24
326162203,123456789,36
326162218,123456789,0
326162250,123456789,26
326162296,123456789,33
326162328,123456789,19
326162359,123456789,15
326162390,123456789,11
326162437,123456789,38
326162484,123456789,24
326162515,123456789,8
326162703,123456789,13
326162750,123456789,27
326162781,123456789,0
326162812,123456789,0
326162859,123456789,44
326162875,123456789,0
326162953,123456789,0
326162984,123456789,32
326163015,123456789,4
326163046,123456789,5
326163078,123456789,40
326163093,123456789,36
326163125,123456789,0
326163171,123456789,0
326163203,123456789,0
326163234,123456789,0
326163250,123456789,0
326163296,123456789,0
326163359,123456789,31
326163468,123456789,0
326163468,123456789,0
326163500,123456789,1
326163546,123456789,31
326163578,123456789,3
326163671,123456789,13
326163703,123456789,11
326163734,123456789,0
326163812,123456789,0
326163843,123456789,32
326163875,123456789,31
326163906,123456789,0
326163953,123456789,27
326163984,123456789,-1
326164015,123456789,26
326164062,123456789,19
326164140,123456789,28
326164187,123456789,22
326164234,123456789,31
326164265,123456789,15
326164312,123456789,0
326164343,123456789,14
326164375,123456789,17
326164437,123456789,12
326164484,123456789,-1
326164531,123456789,0
326164578,123456789,13
326164609,123456789,39
326164640,123456789,-1
326164703,123456789,0
326164718,123456789,31
326164765,123456789,46
326164781,123456789,0
326164812,123456789,0
326164843,123456789,0
326164890,123456789,6
326164921,123456789,0
326164953,123456789,0
326164984,123456789,41
326165062,123456789,0
326165078,123456789,34
326165125,123456789,0
326165140,123456789,29
326165187,123456789,34
326165203,123456789,32
326165250,123456789,31
326165296,123456789,44
326165312,123456789,0
326165375,123456789,0
326165421,123456789,25
326165453,123456789,38
326165484,123456789,8
326165500,123456789,0
326165593,123456789,0
326165703,123456789,0
326165750,123456789,2
326165796,123456789,0
326165890,123456789,17
326165921,123456789,13
326165953,123456789,16
326166000,123456789,30
326166046,123456789,26
326166093,123456789,30
326166125,123456789,0
326166187,123456789,0
326166218,123456789,35
326166250,123456789,14
326166312,123456789,0
326166421,123456789,27
326166437,123456789,33
326166468,123456789,0
326166515,123456789,0
326166531,123456789,0
326166562,123456789,20
326166593,123456789,13
326166656,123456789,23
326166703,123456789,-1
326166765,123456789,10
326166812,123456789,27
326166843,123456789,0
326166875,123456789,0
326166921,123456789,0
326166968,123456789,22
326167031,123456789,50
326167062,123456789,0
326167140,123456789,33
326167171,123456789,-1
326167234,123456789,0
326167296,123456789,28
326167312,123456789,27
326167343,123456789,0
326167359,123456789,0
326167390,123456789,0
326167421,123456789,0
326167453,123456789,12
326167500,123456789,25
326167531,123456789,32
326167546,123456789,39
326167578,123456789,0
326167609,123456789,40
326167640,123456789,25
326167671,123456789,48
326167687,123456789,12
326167718,123456789,0
326167734,123456789,35
326167812,123456789,35
326167828,123456789,29
326167875,123456789,0
326167937,123456789,0
326167984,123456789,0
326168031,123456789,38
326168046,123456789,16
326168125,123456789,13
326168156,123456789,20
326168187,123456789,2
326168218,123456789,0
326168281,123456789,0
326168406,123456789,29
326168484,123456789,23
326168515,123456789,0
326168546,123456789,0
326168578,123456789,44
326168609,123456789,34
326168656,123456789,0
326168687,123456789,0
326168734,123456789,11
326168796,123456789,8
326168843,123456789,16
326168875,123456789,14
326168906,123456789,13
326168937,123456789,35
326168953,123456789,0
326169046,123456789,11
326169078,123456789,25
326169125,123456789,0
326169156,123456789,36
326169218,123456789,19
326169281,123456789,0
326169328,123456789,22
326169343,123456789,3
326169406,123456789,31
326169515,123456789,31
326169531,123456789,15
326169625,123456789,35
326169687,123456789,0
326169781,123456789,1
326169828,123456789,19
326169875,123456789,35
326169921,123456789,13
326169984,123456789,0
326170031,123456789,24
326170046,123456789,12
326170078,123456789,0
326170109,123456789,8
326170187,123456789,8
326170234,123456789,26
326170265,123456789,0
326170296,123456789,19
326170343,123456789,34
326170359,123456789,25
326170375,123456789,0
326170421,123456789,0
326170484,123456789,0
326170515,123456789,0
326170546,123456789,1
326170593,123456789,45
326170609,123456789,0
326170640,123456789,1
326170703,123456789,35
326170750,123456789,0
326170781,123456789,20
326170875,123456789,23
326170921,123456789,25
326170984,123456789,28
326171015,123456789,0
