seed,strategy,remain mycol tiles
1572887,123456789,8
339063718,123456789,28
339063765,123456789,9
339063828,123456789,15
339063875,123456789,13
1572887,123456789,17
339066000,123456789,26
339066015,123456789,0
339066046,123456789,24
339066078,123456789,12
339066140,123456789,21
1572887,123456789,0
339178828,123456789,0
339178859,123456789,0
339178953,123456789,0
339179031,123456789,28
339179031,123456789,20
339179093,123456789,32
339179125,123456789,43
339179140,123456789,14
339179281,123456789,27
339179312,123456789,0
339179343,123456789,1
339179390,123456789,1
339179421,123456789,12
339179453,123456789,14
339179500,123456789,0
339179671,123456789,3
339179703,123456789,22
339179718,123456789,0
339179828,123456789,25
339179843,123456789,29
339179875,123456789,0
339179906,123456789,24
339179937,123456789,33
339179968,123456789,0
339180015,123456789,28
339180031,123456789,0
339180078,123456789,19
339180109,123456789,32
339180187,123456789,25
339180218,123456789,18
339180234,123456789,6
339180265,123456789,51
339180296,123456789,30
339180312,123456789,30
339180359,123456789,25
339180390,123456789,9
339180421,123456789,3
339180453,123456789,13
339180484,123456789,49
339180500,123456789,27
339180531,123456789,0
339180593,123456789,41
339180625,123456789,22
339180656,123456789,0
339180687,123456789,22
339180718,123456789,37
339180750,123456789,0
339180812,123456789,24
339180859,123456789,49
339180875,123456789,-1
339180890,123456789,21
339180906,123456789,19
339180921,123456789,25
339180953,123456789,18
339181000,123456789,0
339181015,123456789,0
339181093,123456789,2
339181125,123456789,18
339181171,123456789,27
339181187,123456789,27
339181218,123456789,0
339181234,123456789,23
339181265,123456789,26
339181296,123456789,23
339181328,123456789,0
339181375,123456789,4
339181421,123456789,0
339181468,123456789,0
339181515,123456789,20
339181609,123456789,30
339181640,123456789,28
339181671,123456789,13
339181796,123456789,34
339181812,123456789,28
339181859,123456789,23
339181953,123456789,0
339181968,123456789,24
339181984,123456789,27
339182000,123456789,34
339182031,123456789,6
339182062,123456789,23
339182093,123456789,14
339182125,123456789,34
339182140,123456789,10
339182171,123456789,36
339182203,123456789,0
339182234,123456789,17
339182296,123456789,42
339182312,123456789,18
339182359,123456789,3
339182453,123456789,0
339182484,123456789,10
339182500,123456789,40
339182531,123456789,40
339182546,123456789,5
339182578,123456789,2
339182625,123456789,32
339182640,123456789,33
339182671,123456789,3
339182703,123456789,8
339182765,123456789,13
339182812,123456789,0
339182906,123456789,31
339182937,123456789,34
339182968,123456789,17
339183000,123456789,19
339183046,123456789,42
339183062,123456789,27
339183109,123456789,10
339183125,123456789,28
339183156,123456789,14
339183187,123456789,0
339183218,123456789,43
339183234,123456789,0
339183265,123456789,40
339183296,123456789,22
339183312,123456789,7
339183343,123456789,-1
339183375,123456789,-1
339183406,123456789,28
339183437,123456789,26
339183468,123456789,22
339183500,123456789,0
339183531,123456789,29
339183546,123456789,19
339183578,123456789,0
339183625,123456789,11
339183656,123456789,39
339183703,123456789,0
339183765,123456789,11
339183843,123456789,14
339183875,123456789,10
339183906,123456789,0
339183937,123456789,19
339183968,123456789,21
